	5-MEF-Mock_S5_L001_R1_001	5-MEF-Mock_S5_L002_R1_001	6-MEF-10uM_S6_L001_R1_001	6-MEF-10uM_S6_L002_R1_001	7-MEF-5uM_S7_L001_R1_001	7-MEF-5uM_S7_L002_R1_001	8-MEF-UIFN_S8_L001_R1_001	8-MEF-UIFN_S8_L002_R1_001
4930453N24Rik	799.053	746.866	1410.337	1302.583	937.446	896	1010.701	952.086
4930455H04Rik	0	0	0	0	1	0	0	0
4930465K10Rik	12	7	9	14	13	7	8	2
4930467E23Rik	0	0	0	0	0	0	0	0
4930469B13Rik	0	0	0	0	0	0	0	0
4930470P17Rik	0	0	0	0	0	0	0	0
4930474N05Rik	0	1	0	0	0	0	0	0
4930480E11Rik	0	0	0	0	0	0	0	0
4930486L24Rik	20	14	20	21	18	15	13	23
4930488N24Rik	0	0	0	0	0	0	0	0
4930502E18Rik	1	0	0	0	0	0	0	0
4930503B20Rik	0	1	3.25638	8	1.999995	3.83878	0	2.59681
4930503E14Rik	0	0	0	0	0	0	0	0
4930503H13Rik	0	0	0	0	0	0	0	0
4930503L19Rik	471	430	808	780	537	546	627	576
4930504O13Rik	0	0	0	0	0	0	0	0
4930505A04Rik	3	0	0	1	3	2	4	1
4930507D05Rik	17.565	19.7047	23.7023	12.4886	12.5415	16.6196	20.6164	13.4366
4930512M02Rik	6	1	0	5	2.01302	2	1	1
4930513O06Rik	0	0	0	0	0	0	0	0
4930515G13Rik	0	1	0	0	0	0	0	1
4930515G16Rik	0	0	0	0	0	0	0	0
4930516K23Rik	0	0	0	0	0	0	0	0
4930518I15Rik	4	6	4	0	3	4	3	4
4930519F09Rik	0	0	1	0	0	0	0	0
4930519F16Rik	0	3.59679	0	0	0	0.441578	1.59725	0.593274
4930519G04Rik	1.04535	0	1.24162	1.00608	1.07748	2.00017	0	0
4930519P11Rik	2	0	1	1	4	3	7	1
4930522H14Rik	0	0	0	0	0	0	0	0
4930522L14Rik	248.6144	215.235	327.0054	312.6502	238.3072	257.2868	306.0233	353.8499
4930523C07Rik	193.99985	183.00005	95.00001	83.00004	164.0004	164.99969	244.99991	257.999838
4930524B15Rik	0	0	0	0	0	0	0	0
4930524J08Rik	60	58	28	28	46	52	67	68
4930524N10Rik	0	0	0	0	0	0	0	0
4930526A20Rik	43.1678	29.0867	21.2623	22.5525	17.3595	23.0668	26.3879	20.6926
4930529C04Rik	2.24035	2.20741	0	1.11496	2.34379	0	0	1.09404
4930533K18Rik	0	0	0	0	0	0	0	0
4930533O14Rik	2303	2289	2083	1983	2319	2074	2974	2923
4930535I16Rik	0	0	0	0	0	0	0	0
4930538K18Rik	1.05656	2	3.52227	0	1.05675	0	0	0
4930539E08Rik	17.1869	18.0233	20.1024	23.3128	16.7196	26.3363	23.345	18.672
4930544D05Rik	0	0	0	0	0	0	0	1
4930544G11Rik	0	0	1	0	1	0	1	1
4930546C10Rik	0	0	0	0	0	0	0	0
4930548H24Rik	4.00017	2.68114	8.09892	2.00913	1	4.58049	4.60805	1.01313
4930549C01Rik	0	0	0	0	0	0	0	0
4930550C14Rik	6	2	3	2	4	7	3	10
4930550L24Rik	0	0	0	0	0	0	0	0
4930553M12Rik	0	0	0	0	0	0	0	0
4930555G01Rik	0	0	0	0	0	0	0	0
4930555K19Rik	0	0	0	0	0	0	0	0
4930556J24Rik	0	1.03568	0	2.05916	0	2.05385	3.10402	2.0635
4930557A04Rik	0	0	0	0	0	0	0	0
4930558C23Rik	0	0	0	0	0	0	0	0
4930558K02Rik	0	0	0	2	0	0	0	0
4930562C15Rik	4.35703	7.64742	7.428786	2.15688	5.12763	2	5.21381	2.5438
4930563D23Rik	0	0	1	0	0	0	0	0
4930563I02Rik	1	0	0	0	0	0	0	0
4930563M21Rik	0	0	0	0	0	1	1	2
4930564D02Rik	0	0	0	0	0	0	0	0
4930567H17Rik	0	0	0	0	0	0	0	0
4930568D16Rik	0	0	0	0	0	0	0	0
4930572O03Rik	0	0	0	0	0	0	0	0
4930578C19Rik	0	0	0	0	0	0	0	0
4930578G10Rik	0	0	0	0	0	0	0	0
4930578I06Rik	1	0	0	0	0	0	2	0
4930579F01Rik	0	0	0	0	0	0	0	0
4930579G24Rik	743.329	686.792	622.718	657.415	758.699	683.744	910.776	847.108
4930583I09Rik	0	0	0	0	0	1	0	0
4930590J08Rik	3	3	6	7	1	2	6	4
4930595D18Rik	1	0	0	0	0	0	0	0
4930595M18Rik	0	0	0	0	0	0	0	0
4930596D02Rik	0	0	0	0	0	0	0	0
4931400O07Rik	0	0	0	0	0	0	0	0
4931406B18Rik	1.04116	0	1.01087	0	0	0	0	0
4931406C07Rik	569.0005	536	452	402.0000098	510.0003	474.00046	736.9996	664.0004
4931406P16Rik	1092.99976	1059.00035	1095.99915	906.999270819498	1052.00038	998.00018	1383.99923	1455.99926
4931408C20Rik	0	0	0	0	0	0	0	0
4931409K22Rik	0	0	1	0	0	0	0	0
4931414P19Rik	213	199	212	194	211	186	309	223
4931417E11Rik	0	0	0	0	0	0	0	0
4931422A03Rik	5.45149	1.18606	4.53262	2.21396	2.26946	2.25491	5.72125	5.79951
4931423N10Rik	0	0	0	1	0	0	0	0
4931428F04Rik	400.125	390.273	301.994	296.8917	365.3686	325.6023	489.1752	456.792
4931428L18Rik	0	0	0	1	0	1	0	1
4931429L15Rik	0	0	1	2	0	0	0	0
4931431F19Rik	0	0	0	0	0	0	0	0
4931440F15Rik	2.05111	1.03521	3.16382	0	1.03927	2.10498	1.03359	1.04371
4931440P22Rik	25.89327	23.191821943075	37.146953	34.122163	27.83854	23.00953	30.31591	28.44658
4932411E22Rik	0	0	0	0	0	0	0	0
4932411N23Rik	0	0	0	1	0	1	0	1
4932414N04Rik	2	0	3	3	2	2	4	4
4932415D10Rik	0	0	0	0	0	0	3	0
4932416K20Rik	0	0	1	0	0	0	0	0
4932429P05Rik	0	0	0	0	0	0	0	0
4932431P20Rik	0	0	0	0	0	0	1	0
4932438A13Rik	1689.99996004087	1584.99968	2114.00023	1964.99917	1538.06625	1450.00018	2057.00071	1914.00088
4932438H23Rik	2	4.000001	3	1	2	3	2	5
4932443I19Rik	3.02787	1.00334	1	0	2.07997	3	6	2
4933400A11Rik	0	0	0	0	0	0	0	0
4933401B06Rik	0	0	0	0	0	0	0	0
4933402D24Rik	2	1	0	0	2	2	0	1
4933402E13Rik	0	0	0	0	0	0	1	0
4933402J07Rik	0	0	0	0	0	0	0	0
4933402N03Rik	0	0	0	0	0	0	0	0
4933402N22Rik	0	0	0	0	0	0	0	0
4933402P03Rik	0	0	0	0	0	0	0	0
4933403O08Rik	0	0	0	0	0	0	0	0
4933405L10Rik	5	3	1	0	1	5	4	2
4933405O20Rik	0	0	0	0	0	0	0	0
4933406J08Rik	0	0	0	0	0	0	0	0
4933406M09Rik	0	1	0	3	1	2	0	0
4933406P04Rik	9	13	4	9	14	11	14	17
4933407L21Rik	1	2.40766	0	1	1.25231	2	0	2
4933408B17Rik	9	9	8	7	7	8	10	8
4933408J17Rik	78.0188	40.0209	74.0443	69.0148	54	53	63	64.012
4933409G03Rik	0	0	0	0	0	0	0	0
4933411G06Rik	0	0	0	0	0	0	0	0
4933411K16Rik	1	6	4	7	3	4	3	6
4933412A08Rik	52.3007	29.5056	55.3962	71.1373	57.9669	34.9012	35.0371	39.0584
4933412E24Rik	0	0	0	0	0	0	0	0
4933413G19Rik	2	2	7	4	4	2	7.00561	2
4933414I15Rik	0	0	0	0	0	0	0	0
4933415A04Rik	1.001	2.0005	1.02056	0	0.467153	1.05558	1.00057	1.00069
4933415F23Rik	0	0	0	0	0	0	0	0
4933416C03Rik	0	0	0	0	0	0	0	0
4933416E14Rik	0	0	0	0	0	0	0	0
4933416I08Rik	0	0	0	0	0	0	0	0
4933417A18Rik	0	0	0	0	0	0	0	0
4933417G07Rik	0	0	0	0	0	0	0	0
4933421I07Rik	0	0	0	0	0	0	0	0
4933424G06Rik	1	3	3	0	0	2	3	2
4933425L06Rik	0	0	0	0	0	0	0	0
4933427D14Rik	356.00027	320.00018	604.99998	573.000007	399.0003891	394.99958	506.0007	513.000405
4933427G17Rik	2.000001	2	1	0	1	3	3.000001	2
4933427G23Rik	13.109	13.0689	29.3173	13.0425	19.1041	17.0972	16.1245	14.0869
4933427I04Rik	12.1939	5.93713	9.07666	8.84817	10.9792	5.69331	10.5056	16.7862
4933428G20Rik	7.47492	3.27621	2.1605	1.0768	0	3.38747	1.08241	5.33662
4933428M09Rik	0	0	0	0	0	0	0	0
4933430I17Rik	12	12	9	12	12	3	12	15
4933434E20Rik	1046.648	1051.82771	2136.99776	2149.6835	1270.57128	1205.58101	1470.21361	1366.85862
4933436I01Rik	0	0	0	0	0	0	0	0
5031410I06Rik	0	0	0	0	0	0	0	0
5031414D18Rik	33	28	20	20	26	28	47	56
5031439G07Rik	2086.0008	2025.0009	2337.0036	2219.0012	2106.9972	2008.004	2710.0055	2574.9954
5033404E19Rik	0	0	0	0	0	0	1	0
5033423K11Rik	0	0	0	0	0	0	0	0
5330417C22Rik	3.999999	4	0	3.000003	2	2.0000031	4	3
5330417H12Rik	0	0	0	0	0	0	0	0
5330438D12Rik	51	41	36	31	32	36	54	52
5430401F13Rik	0	1	0	0	0	0	0	0
5430402E10Rik	0	0	0	0	0	0	0	0
5430403G16Rik	160.498	152.73	196.627	136.689	162.293	134.051	196.028	170.206
5430416O09Rik	5.00004	2	5.10519	2	2.00005	3.00003	7.00014	2.01841
5430419D17Rik	0	2	0	0	0	1	1	1
5430427O19Rik	3	2	5	8	3	0	2	3
5530400C23Rik	0	0	0	0	0	0	0	0
5530401A14Rik	0	1.10959	1.03245	0	0	0	3.16493	1.06158
5730409E04Rik	64.3801	43.0383	72.8444	67.0554257649	47.5868	47.598240979	69.9617	55.5565
5730416F02Rik	1	0	0	0	0	0	0	1
5730455P16Rik	745.4326	699.86776	1383.81381	1170.24916	842.5281	768.2642	992.77425	975.17334
5730480H06Rik	246.448733	221.23535	399.113	305.34022	270.338533	247.80526	288.356774	273.41448
5730507C01Rik	79.2014	69.7607	69.4049	72.74812	86.6287	81.568	98.5928	107.7835
5730508B09Rik	15	22	48	44.00004	28.00003	39	42.00003	27.00001
5730522E02Rik	0	0	0	1	0	0	0	0
5730559C18Rik	268.99977	283.99997254	210.00041	204.000253	262.999595	246.00041	379.99968	358.99959
5730596B20Rik	3	3	1	2.38443	2	2	1	3
5830411N06Rik	0	0	0	0	0	0	0	0
5830417I10Rik	706.938	677.196	936.987	846.039	670.503	678.936	883.324	917.983
5830454E08Rik	6	6	5	6	9	8	12	13
5830473C10Rik	0	0	0	0	1	0	3	0
5930422O12Rik	1	0	0	0	1	0	0	0
6030419C18Rik	676	609	915	838	683	587	818	787
6030445D17Rik	4.25966	6.33276	4.00011	7.19893	10.308	10.3623	7.55859	9.50168
6030452D12Rik	0	0	0	0	0	0	0	0
6030458C11Rik	629.749	623.422	1116.53	962.883	684.42	663.825	811.2	757.991
6030468B19Rik	0	1	1	0	0	0	1	0
6030469F06Rik	0	0	0	0	0	0	0	0
6030498E09Rik	0	0	0	0	0	0	0	0
6330403A02Rik	2	0	0	0	0	1	0	1
6330408A02Rik	165.68643	198.31058	267.201550064767	241.73912218	187.168370311153	163.88616	221.86736	219.3609078
6330409D20Rik	0	0	0	0	0	0	0	0
6330416G13Rik	121.000031	108.000053	426.9997	365.00032	163.000303	154.999973	154.000000267053	158.000278
6330549D23Rik	10.87479	13.10227	17.19474	16.07303	13.19684	5.48264	10.717447	14.93488
6430531B16Rik	8	4	2	6	2	4	6	0
6430548M08Rik	384.00069	380.00011	387.99974	323.00004	305.99977	294.00028	452.0003	427.000417937
6430550D23Rik	11.24972	11.717165	4.999998	8.177265	18.169637	8	15.78023	13.17772
6430571L13Rik	22	21	18	21	22	15.0203	20	19
6430573F11Rik	1	1	1	0	1	1	2	0
6430628N08Rik	0	0	0	0	0	0	0	0
6720489N17Rik	217.935	221.703	167.34	165.882	198.06209	204.752	296.254	304.33
6820408C15Rik	3	1	1	1	1	2	0	2
6820431F20Rik	3243.34591	3003.20015	5267.83348	5179.67	3525.17802	3240.41884	4475.61449	4105.3088
7420426K07Rik	0	0	0	0	0	1	0	0
7420461P10Rik	0	1	0	0	0	0	0	0
7530416G11Rik	4.00843	5.00439	4.9135	1.00234	3.00956	6.01985	7.00862	3.00205
7530428D23Rik	1	0	0	2.26445	1	0	1	1
8030411F24Rik	0	0	0	0	0	0	0	0
8030423J24Rik	0	0	0	0	0	0	0	0
8030462N17Rik	397	412	784	771	491	490	546	539
8030474K03Rik	2	0	0	0	0	0	0	0
8430408G22Rik	0	0	1	0	0	0	0	0
9030612E09Rik	2	2	1	1	1	1	2	0
9030617O03Rik	189.0003	179.39996	195.0004	178.87682	200.51092	186.1231	259.58474	232.39475
9030619P08Rik	0	0	0	0	0	0	0	0
9030624G23Rik	29.3605	23.8525	22.4724	31.1138	15.8302	30.571	25.7258	32.6505
9030624J02Rik	1333.20573	1269.23237	1699.80389	1620.42039	1393.70614	1279.44016	1749.01676	1635.24163
9130008F23Rik	110	85	157	135	107	112	121	125
9130011E15Rik	636	643	1064	1010	679	665	830	799
9130019O22Rik	3.82292	1.11566	2.2529	1.25104	2.37454	1.28405	2.52337	3.566486
9130023H24Rik	116.705	91.4924	112.31	112.915	90.8065	91.9026	154.683	120.965
9130204L05Rik	0	0	0	0	0	0	0	0
9130208D14Rik	1.07566	0	1.13912	0	0	0	0	0
9130213A22Rik	6	1	1	1	4	3	5	1
9130230L23Rik	1	2.00885	3.62554	1	1.00241	2.01576	2.00004	0
9130401M01Rik	938.99951	816.00027	1722.09885	1645.47888	1156.99773	1177.18738	1221.00139	1148.03872
9130409I23Rik	3	2	1	0	3	3	2	2
9130409J20Rik	0	0	0	0	0	0	0	0
9230019H11Rik	0	0	0	1	0	0	1	1
9230102O04Rik	0	0	0	0	0	0	1	0
9230104L09Rik	0	0	0	0	0	0	0	0
9230104M06Rik	4.13225	2.04634	4.05949	6.04315	0	4.05284	1.01507	3.06603
9230106D20Rik	0	0	0	0	0	0	0	0
9230109A22Rik	0	0	0	0	0	0	0	3
9230110C19Rik	168	154	241	227	174.182	169	196	182.172
9230110F15Rik	0	0	0	0	0	0	0	0
9230112D13Rik	0	0	0	0	0	0	0	0
9230113P08Rik	1.00626	1	3	3	3	1	3	2.00586
9330132A10Rik	0	0	0	0	0	0	1.00034	0
9330151L19Rik	60.2563	29.9857	46.8639	47.5407	60.1668	39.0567	71.9418	49.1413
9330159F19Rik	5.95934	4.43247	7.00209	7.14181	7.10714	2.02642	7.54224	12.026
9330161L09Rik	2	4	5	3	2	4	1	1
9330182L06Rik	11	9	8	12.000007	8	10	12.999997	17
9330182O14Rik	0	0	0	0	0	0	0	0
9430007A20Rik	0	0	0	0	0	0	0	0
9430015G10Rik	862.18463	821.36576	1224.0478	1177.19526	871.83545	828.9563	985.96102	954.13287
9430016H08Rik	325.6741	305.4299	484.7398	476.2745	380.5155	344.5839	434.2292	456.0998
9430020K01Rik	1703	1578	2115	2037	1728	1643	2253	2102
9430025C20Rik	5.07484	1.00651	4.12668	2.08882	1.01626	6.02284	4.05044	5.10025
9430038I01Rik	57.9999901	52	69.00002	64.00131	61	57.00001	72.00097	77.99998
9430069I07Rik	0	1	0	1.06904	0	1	0	0
9430076C15Rik	123.09719	122.00108	248.21254	223.222768	138.01044013	118.16948	160.011193362	180.187149
9430097D07Rik	2	0	1	1	0	1.5122	3	0
9530002B09Rik	0	0	0	0	0	0	0	0
9530003J23Rik	0	0	0	0	1	0	0	0
9530053A07Rik	11	7.7011645	12.999984	11	15.00002	5.000003	10.00001	6.62824
9530068E07Rik	5796.99554	5535	5068.00075	4763.00062	5659.00292	5267.00113	7850.9971	7333.9992
9530077C05Rik	143	138	128	127	132	119	175	164
9630041A04Rik	0	0	0	0	0	0	0	0
9830107B12Rik	0	0	0	0	0	0	0	0
9830147E19Rik	72.1761	60.31822	112.2688	119.30498	96.10077	87.59775	112.308	90.2127
9930012K11Rik	191.000103	192.000011862	83	97.99999	146	146.00001	240.999630060443	248.00024947
9930021J03Rik	824.99961	794.99931	1067.00028	1057.99978	865.00028	770.9996	1047.00012	983.99964
9930022D16Rik	0	0	0	0	0	1	0	0
9930111J21Rik1	6.89192	4.11954	5.958347	13.47698	2.69194	2.202354	8.7932	6.370717
9930111J21Rik2	86.7343	97.3601	122.186097	128.69368	96.80104	106.426664	155.053	121.491587
a	0	0	0	0	0	0	0	0
A130006I12Rik	6	6	9.16489	5	1	6	3	9
A130010J15Rik	195.0255955115	190.079560401324	246.13859	216.66738	227.05471	183.18724	260.13253595622	232.092499687548
A130051J06Rik	28.1834	34.4469	31.3641	34.2753	40.5542	41.6389	41.4354	39.3878
A130057D12Rik	5	6	15	8	7	11	13	3
A1bg	0	0	0	0	0	0	0	0
A1cf	0	0	0	0	0	0	0	0
A230046K03Rik	1982.58	1885.51	2784	2863.08	2186.38	2029.07	2690.79	2611.98
A230050P20Rik	44.5701873	43.6424	103.77634	99.659434	80.43295	60.258722393	97.2668	95.7193
A230052G05Rik	0	0	2	2	1	3	3	1
A230065H16Rik	1	0	0	0	1	1	0	0
A230072I06Rik	0	0	0	0	0	0	0	0
A26c2	0	0	0	0	0	0	0	0
A2m	0	0	0	0	0	0	0	0
A330017A19Rik	3	1	4	3	1	1	5	3
A330044P14Rik	16.4792	22.7615	28.1346	19.38	19.1007	28.1556	19.3792	23.2431
A330070K13Rik	0	0	0	0	0	0	0	0
A3galt2	2	0	7	1	0	0	2	2
A430005L14Rik	498.0001	463.00015	892.9483	919.93469	562.95775	481.8939	664.9422	589.98889
A430033K04Rik	209.2943	189.654354	184.49138	149.53303	186.760877	188.365962	279.141236	252.421145
A430060F13Rik	0	0	0	0	0	0	0	0
A430078G23Rik	9.00472	7.26367	10.1078	7.91144	4.34062	7.54758	8.63057	13.9264
A430089I19Rik	0	0	0	0	0	0	0	0
A430105I19Rik	438	440.9999	440.99971	370.99961	452	418	582	554.00016
A4galt	5.364	8.97448	2.17959	1.13627	1.14193	6.49235	5.05121	7.54136
A4gnt	0	1	1	1	2	0	1	0
A530016L24Rik	20	14	4	3	12	11	38	28
A530032D15Rik	0	0	0	0	0	0	0	0
A530064D06Rik	5.3358	0	1	5.97211	1	0	1	4.25306
A530084C06Rik	0	0	8.89093	1.31181	2.90872	1.20637	6.93188	0
A530099J19Rik	5	0	3	1	2	4	5	4
A630001G21Rik	0	2	0	0	0	1	3	4
A630010A05Rik	3	4	6	6	5	1	6	2
A630023A22Rik	1	1	4	2	3	0	1	2
A630033H20Rik	10.062347	10.999959	7.000004	12.000018	11.9999880128642	5.0000010471322	14.999957	11.0000430167433
A630073D07Rik	0	1	0	0	1	2	0	2
A630076J17Rik	0	0	0	0	0	1	0	0
A630095E13Rik	1	1	3	2	2	2	1	0
A630095N17Rik	0	0	0	0	0	0	0	0
A730015C16Rik	3.69066	6.08095	10.0478	14.4819	14.3825	11.5171	9.33921	6.72823
A730017C20Rik	0	0	0	0	1	0	0	0
A730018C14Rik	0	0	0	1	0	0	0	0
A730046J19Rik	0	1	2	1	1	1	0	1
A730049H05Rik	1.97378	4.36155	9.03493	1.0288	1.06641	2.05592	0	4.66945
A730061H03Rik	1	0	0	1	0	2	0.994632	0
A730071L15Rik	2.09276	4.15578	5.16352	4.15267	9.46316	4.06356	3.07491	9.54585
A830005F24Rik	10	5	3	4	5	8	12	9
A830010M20Rik	119.674432	109.71903	154.8249	145.37228	119.30211	112.70872	171.71366	178.14733718
A830018L16Rik	3.00049	4.00234	5.00043	2.00029	2.00026	4.002584	4.00026	5.00018
A830031A19Rik	0	0	0	0	0	0	0	0
A830080D01Rik	343.99975	326.99972	550.00024	488.00028	369.99971	376.9998	460.9997	417.99979
A930002H24Rik	18	15	13	2	11	12	21	26
A930003A15Rik	0	0	0	0	0	0	0	0
A930004D18Rik	416	371.00028	303.00001	300.00005	371.0001	358.000363175	485.00013	480.9996
A930009A15Rik	1	0	0	1	0	0	1	2
A930011G23Rik	0	0	0	0	0	0	0	0
A930017K11Rik	2	4	2	7	2	0	5	4
A930017M01Rik	0	0	0	0	0	0	1	0
A930018M24Rik	0	0	0	0	0	0	0	0
A930018P22Rik	0	0	0	1	1	0	0	2
A930033H14Rik	34	34	20	24	31	23	35	50
A930035D04Rik	4	4	4.22341	8	6	5	6	6.14318
AA413626	2	2	1	1	1	0	1	2
AA414768	24	21	35.9125	32	27	19	30	32.0728
AA415398	29.99998	29.99996	68.00007	61	35	27.99996	43.00002	40
AA467197	0	2	5.000005	4	0	0	0	0
AA543401	0	0	0	0	0	0	0	0
AA619741	0	0	0	0	0	0	0	0
AA623943	0	0	0	0	0	0	0	0
AA792892	1	0	0	0	0	0	0	0
AA986860	12.99999	18.00004	69	65	16.00002	12.99999	17.999976	19.99997
Aaas	2327	2205	3140	3026	2402	2249	2985	2804
Aacs	1997	2021.00342	2149.9977	1973.00068	2211.00352	2008.0028	2713.00453	2544.99553
Aadac	0	0	0	0	0	0	0	0
Aadacl2	0	0	0	0	0	0	0	0
Aadacl3	0	0	0	0	0	0	0	0
Aadat	4	3	1.999997	6	5	7	1.999997	5
Aaed1	321	314	646	677	419	383	403	386
Aagab	822	723	860	843	798	789	1056	1061
Aak1	2656.99734	2474.40848	2274.00002	2112.998297	2245.9969	2236.00471	3305.85405	3088.8578
Aamdc	94.00002	112.00003	90.00001	83.0000900110395	97.00003	94.99997	129.000024783603	141.00008
Aamp	3479.0023	3272.00109	3084.99987	2889.99748	3370.99524	3137.99827	4320.00183	4087.99827
Aanat	0	0	0	0	0	0	1	0
Aar2	745.00094	642.0005	906.99984	858.99973	727.00063	649.00001	896.99947	905.00042
Aard	1	1	0	0	0	1	1	1
Aars	10673.00752	10152.97449	25759.02853	24434.93857	14734.98134	14338.03351	14011.95353	13422.903732
Aars2	417	374	459	433	467	413	540	502
Aarsd1	692.78801	587.77587	1046.58469	949.58677	751.67189	694.10703	840.34236	744.00621
Aasdh	231.17727	208.00333748	399.348796	365.00092	253.00477052	212.001451708654	281.006227	268.00059
Aasdhppt	597.407	546.141	1112	1028.53	668.943	640.892	785.703	715.972
Aass	1	0	0	0	0	0	0	0
Aatf	857.99984	802.00015	2335.00312	2259.99744021378	1192.00066001312	1104.99583	1055.99945	1042.00003
Aatk	64.1682808086	57.015386256325	62.02133	76.00007	67.0201	61.0158	84.0005	74.003981
AB124611	3	4	3	3	1	1	2	3
Abat	286.999835	276.99989	180.0002	154.99993	248.999919	234.000294	401.000269	365.000429
Abca1	282.00004	244.00034	78	66.00001	169	140	334.00031	336
Abca12	1	2.04877	5.00095	7.00043094	0	2.044	2	2.01754
Abca13	0	0	0	0	1	0	0	0
Abca14	0	0	0	0	0	0	0	0
Abca15	0	0	0	0	0	0	0	0
Abca16	0	0	0	0	0	1	0	0
Abca17	0	0	0	0	0	0	0	0
Abca2	1655.99946	1538.99876	1772.99864	1703.9961206612	1653.99694	1597.99732	1885.00279	1822.0024
Abca3	1173.00058	1103.03731	1084.00121	1038.99951	1078.00122	1098.00059	1528.00294	1395.00237
Abca4	26.88994	21	31.1418385	29	31.9836	22	44.00000032	40.53512
Abca5	810	746	1048.00151228623	998.087091	773.00004	814	943.00302	1007.9996
Abca6	0	0	2	1	0	0	4	1
Abca7	1159.00000003467	1096.00000252891	709.000000155069	668.999695807	988.000368976	867.000000068703	1409.9995601	1254.0000111328
Abca8a	1	0	0	0	0	0	0.999999	0
Abca8b	108.35447	111	158.0003	140.9996	129.0004	125	171.6714	154.0003
Abca9	12	21	6	1	10	14	30	22
Abcb10	709	718	749	686	707	730	888	861
Abcb11	1	0	1	1	1.0000000121986	0	0	3.0000000456942
Abcb1a	8.90012	5.57757	48.387	42.30276	12.60673	11.56324	8.64369	12.719233
Abcb1b	571.11461	600.4225	1556.6085	1445.74925003	761.3934168	717.29795	795.37519	748.0086
Abcb4	2	8.63409	5.04951	2.06009	3.01459	4.66632	2	5.283661
Abcb5	0	0	0	0	0	0	0	0
Abcb6	343.99983	330.99995	337.99955	316.99993	352.99958	307.0001	395.99983	438.0001
Abcb7	696.26759	677.00005	969.40186	986.00029	697.2179	713.00021	951.963	903.25407
Abcb8	576.0001	563.99952	602.0003	583.00023	498.999556	489.0004	722.99962	645.00018
Abcb9	33.06317	27.14657	16.439501	21.0041900857072	28.01343	32.6133	40.1820034	31.19268
Abcc1	2301.6940598147	2104.37599	3991.07862267	3717.7155735768	2574.00197	2388.601195627	3015.22426591	2835.6631142
Abcc10	287.9997	284.3677	282.06704	245.99958	254.16142	225.9999	374.22087	348.00019
Abcc12	0	1	4	4	1	4	1	1
Abcc2	0	0	1.00012	3	1	1	1	1
Abcc3	26.99998	22.000035	2	3.999998	16.000004	13.000002	26.00004	17.99999
Abcc4	463	422.00018	1502	1390.9967	552.999895	589	582.9997	556
Abcc5	1617.56685	1522.54147047	1913.00296564495	1705.00413	1547.4521131	1577.00399764	2038.43461	1911.00031
Abcc6	3	0	2	0	0	0	0	0
Abcc8	2	0	6.999997	1	2	1.999998	2.000004	1
Abcc9	2.00015	2.0022	2.00179	4.00079	5.83408	4.58866	4.38236	3.01343
Abcd1	568.99971	504.00024	247.00043	249.99955	444.13811	449.00004	691.0001	725.9997
Abcd2	120.001	111.57	50.2666	49.3656	90.0695	73.5813	144.747	143.781
Abcd3	1880.48561	1846.6854540394	1985.29333	1861.29531	1787.05376	1728.99725	2376.62199	2227.00477
Abcd4	389.49	378.329	333.887	333.327	376.409	349.173	540.091	540.051
Abce1	5194.44002	4939.67576	11522.521	11122.789	6699.85227	6316.4075	6989.1011	6655.8417
Abcf1	3788.99811	3735.99685	5370.99874	4931.99163	4042.99527	3829.99565	4809.98395	4672.99667
Abcf2	3650	3320	7512	7233	4141	4007	4640	4394
Abcf3	1292.99555	1167.00416	1189.9952	1077.99983	1180.0003	1136.00049	1592.0028148631	1523.0017
Abcg1	91	73.99998	23.2054	37	45	44.0537	96	93.99999
Abcg2	908.04195	860.04002	835.0647	804.00643	896.02435	799.02728	1131.90068	1090.01581
Abcg3	2	0	1	1	1	1	0	0
Abcg4	20	19.00005	19.99997	13	19.00003	18.9999701275	21.000005	11.99995
Abcg5	0	0	0	0	0	0	0	0
Abcg8	0	0	0	0	0	0	0	0
Abhd10	350.99979	368.00043	587.00027	542.99969	421.99973	365.999693	454	454.00045
Abhd11	263.9999318142	226.00021	442.00048	401.00025	312.9996	278.00047	358.0004	297.0005
Abhd12	1084.99997	1060.00006	1329.99827	1324.99551	1172.99934	1100.99922	1468.99834	1343.00019
Abhd12b	1.0184	0	1.00711	2.01677	0	1.00184	3.05569	1.23709
Abhd13	733	744	1012	986	823	715	940	908
Abhd14a	288.00025	259.99931	430.00026	441.99997	312.99987	296.9998785	338.00008	323.99974
Abhd14b	518.0003	510.9995	350.9996	320.0003	503.000294523	450	693.0003	639.0005
Abhd15	2.64948546	11.269576	10.5935	18	11	4.10901	7.05747	7
Abhd16a	1014.00049	978.99969	1070.99996	1068.99969	1024.99947	921.00036	1380.99746	1237.99939
Abhd16b	3	3	2	5	2	1	5	3
Abhd17a	1571.0036	1485.9979	1313.9956	1350	1570.99652	1471.00365	1973.0012	1895.9958
Abhd17b	655	635	989	931	720	668	819	754
Abhd17c	747.9996413	695	923	896.00023	831	805	1055	1034
Abhd18	121.20858184	90.75351	94.1166	103.7151	71.413647	75.60474	116.1423125787	111.93071
Abhd2	1255.3982	1204.5947	1296.3883	1243.7191	1197.5955	1174.6007	1588.7396	1642.4229
Abhd3	33	44	11	25	29	33	45.999968	35
Abhd4	2010.99727	1975.99994	1292.9971	1275.99501040551	1764.99512	1610.9963	2460.00461	2493.99505
